,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season,playerStripped
193,Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112,2024-2025,philippgrubauer
194,Jack Campbell,EDM,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11,2023-2024,jackcampbell
195,Pheonix Copley,L.A,G,33,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-,2024-2025,pheonixcopley
196,Tyler Bunz,EDM,G,33,1992-02-11,Regina,SK,CAN,CAN,73,205,2010,EDM,5,1,121,2014-2015,tylerbunz
197,Matthew O'Connor,OTT,G,33,1992-02-14,Sault Ste. Marie,ON,CAN,CAN,78,188,-,-,-,-,-,2015-2016,mattoconnor
198,Petr Mrazek,ANA,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141,2025-2026,petrmrazek
199,Louis Domingue,NYR,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138,2024-2025,louisdomingue
200,Kent Simpson,CHI,G,33,1992-03-26,Edmonton,AB,CAN,CAN,74,209,2010,CHI,2,28,58,2013-2014,kentsimpson
201,Calvin Pickard,EDM,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49,2025-2026,calvinpickard
202,Jason Kasdorf,BUF,G,33,1992-05-18,Winnipeg,MB,CAN,CAN,76,205,2011,WPG,6,6,157,2015-2016,jasonkasdorf
203,Roman Will,COL,G,33,1992-05-22,Plzen,,CZE,CZE,73,195,-,-,-,-,-,2015-2016,romanwill
204,Kevin Boyle,ANA,G,33,1992-05-30,Manalapan,NJ,USA,USA,73,201,-,-,-,-,-,2018-2019,kevinboyle
205,Kristers Gudlevskis,T.B,G,33,1992-07-31,Aizkraukle,,LVA,LVA,75,188,2013,T.B,5,3,124,2016-2017,kristersgudlevskis
206,Sami Aittokallio,COL,G,33,1992-08-06,Tampere,,FIN,FIN,73,185,2010,COL,4,17,107,2013-2014,samiaittokallio
207,Mark Visentin,PHX,G,33,1992-08-07,Hamilton,ON,CAN,CAN,74,201,2010,PHX,1,27,27,2013-2014,markvisentin
208,Scott Wedgewood,COL,G,33,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84,2025-2026,scottwedgewood
209,David Rittich,L.A,G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-,2024-2025,davidrittich
210,Zane McIntyre,BOS,G,32,1992-08-20,Grand Forks,ND,USA,USA,74,206,2010,BOS,6,15,165,2016-2017,zanemcintyre
211,Michael Houser,BUF,G,32,1992-09-13,Youngstown,OH,USA,USA,73,185,-,-,-,-,-,2021-2022,michaelhouser
212,Adam Wilcox,BUF,G,32,1992-11-26,South St. Pau,MN,USA,USA,72,189,2011,T.B,6,27,178,2017-2018,adamwilcox
213,Anton Forsberg,L.A,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188,2025-2026,antonforsberg
214,Alex Lyon,BUF,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-,2025-2026,alexlyon
215,Christopher Gibson,T.B,G,32,1992-12-27,Karkkila,,FIN,FIN,74,217,2011,L.A,2,19,49,2020-2021,chrisgibson
216,Maxime Lagace,T.B,G,32,1993-01-12,Saint-Augustin,QC,CAN,CAN,74,190,-,-,-,-,-,2021-2022,maxlagace
217,Laurent Brossoit,WPG,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164,2023-2024,laurentbrossoit
218,Andrey Makarov,BUF,G,32,1993-04-20,Kazan,,RUS,RUS,74,194,-,-,-,-,-,2014-2015,andreymakarov
219,Connor Hellebuyck,WPG,G,32,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130,2025-2026,connorhellebuyck
220,Thomas Hodges,ANA,G,32,1993-06-25,"Slough, GBR",,USA,,70,170,-,-,-,-,-,2021-2022,thomashodges
221,Garret Sparks,L.A,G,32,1993-06-28,Elmhurst,IL,USA,USA,75,220,2011,TOR,7,9,190,2021-2022,garretsparks
222,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88,2025-2026,jordanbinnington
223,John Gibson,DET,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39,2025-2026,johngibson
224,Linus Ullmark,OTT,G,32,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163,2025-2026,linusullmark
225,Kasimir Kaskisuo,NSH,G,31,1993-10-02,Vantaa,,FIN,FIN,75,203,-,-,-,-,-,2020-2021,kasimirkaskisuo
226,Charlie Lindgren,WSH,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-,2025-2026,charlielindgren
227,Malcolm Subban,CBJ,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24,2023-2024,malcolmsubban
228,Anthony Stolarz,TOR,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45,2025-2026,anthonystolarz
229,Jon Gillies,CBJ,G,31,1994-01-22,Concord,NH,USA,USA,78,223,2012,CGY,3,14,75,2022-2023,jongillies
230,Oscar Dansk,VGK,G,31,1994-02-28,Stockholm,,SWE,SWE,75,204,2012,CBJ,2,1,31,2020-2021,oscardansk
231,Elvis Merzlikins,CBJ,G,31,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76,2025-2026,elvismerzlikins
232,Joonas Korpisalo,BOS,G,31,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62,2025-2026,joonaskorpisalo
233,Antoine Bibeau,COL,G,31,1994-05-01,Victoriaville,QC,CAN,CAN,75,205,2013,TOR,6,21,172,2019-2020,antoinebibeau
234,Chris Driedger,SEA,G,31,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76,2023-2024,chrisdriedger
235,Mackenzie Skapski,NYR,G,31,1994-06-15,Abbotsford,BC,CAN,CAN,75,188,2013,NYR,6,19,170,2014-2015,mackenzieskapski
236,Matt Tomkins,T.B,G,31,1994-06-19,Edmonton,AB,CAN,CAN,75,194,2012,CHI,7,18,199,2023-2024,matttomkins
237,Collin Delia,VAN,G,31,1994-06-20,Rancho Cucamonga,CA,USA,USA,74,208,-,-,-,-,-,2022-2023,collindelia
238,Marek Langhamer,ARI,G,31,1994-07-22,Moravska Trebova,,CZE,CZE,74,190,2012,PHX,7,3,184,2017-2018,mareklanghamer
239,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19,2025-2026,andreivasilevskiy
240,Cal Petersen,PHI,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129,2023-2024,calpetersen
241,Marcus Hogberg,NYI,G,30,1994-11-25,Orebro,,SWE,SWE,77,222,2013,OTT,3,17,78,2024-2025,marcushogberg
242,Ville Husso,"ANA, DET",G,30,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94,2024-2025,villehusso
243,Ken Appleby,N.J,G,30,1995-04-10,North Bay,ON,CAN,CAN,77,210,-,-,-,-,-,2017-2018,kenappleby
244,Kenneth Appleby,NYI,G,30,1995-04-10,North Bay,ON,CAN,CAN,77,210,-,-,-,-,-,2023-2024,kennethappleby
245,Juuse Saros,NSH,G,30,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99,2025-2026,juusesaros
246,Kevin Lankinen,VAN,G,30,1995-04-28,Helsinki,,FIN,FIN,74,190,-,-,-,-,-,2025-2026,kevinlankinen
247,Tristan Jarry,PIT,G,30,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44,2025-2026,tristanjarry
248,Zach Fucale,WSH,G,30,1995-05-28,Laval,QC,CAN,CAN,74,189,2013,MTL,2,6,36,2021-2022,zachfucale
249,Spencer Martin,CAR,G,30,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63,2024-2025,spencermartin
250,Eric Comrie,WPG,G,30,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59,2025-2026,ericcomrie
251,Hunter Miska,COL,G,30,1995-07-07,North Branch,MN,USA,USA,73,175,-,-,-,-,-,2020-2021,huntermiska
252,Ilya Sorokin,NYI,G,30,1995-08-04,Mezhdurechensk,,RUS,RUS,75,195,2014,NYI,3,18,78,2025-2026,ilyasorokin
253,Artyom Zagidulin,CGY,G,30,1995-08-08,Magnitogorsk,,RUS,RUS,74,180,-,-,-,-,-,2020-2021,artyomzagidulin
254,Landon Bow,DAL,G,29,1995-08-24,,,,,76,220,-,-,-,-,-,2018-2019,landonbow
255,Jonas Johansson,T.B,G,30,1995-09-19,Gävle,,SWE,SWE,77,220,2014,BUF,3,1,61,2025-2026,jonasjohansson
256,Hunter Shepard,WSH,G,29,1995-11-07,Cohasset,MN,USA,USA,72,215,-,-,-,-,-,2024-2025,huntershepard
257,Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36,2025-2026,thatcherdemko
258,Igor Shesterkin,NYR,G,29,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118,2025-2026,igorshesterkin
259,Alex Nedeljkovic,S.J,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37,2025-2026,alexnedeljkovic
260,Vitek Vanecek,UTA,G,29,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39,2025-2026,vitekvanecek
261,Alexandar Georgiev,"COL, S.J",G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-,2024-2025,alexandargeorgiev
262,Gilles Senn,N.J,G,29,1996-03-01,Bülach,,CHE,CHE,77,191,2017,N.J,5,5,129,2019-2020,gillessenn
263,Brandon Halverson,T.B,G,29,1996-03-29,Traverse City,MI,USA,USA,76,210,2014,NYR,2,29,59,2024-2025,brandonhalverson
264,Adin Hill,VGK,G,29,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76,2025-2026,adinhill
265,Karel Vejmelka,UTA,G,29,1996-05-25,Trebic,,CZE,CZE,76,224,2015,NSH,5,24,145,2025-2026,karelvejmelka
266,Kaapo Kahkonen,COL,G,28,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109,2024-2025,kaapokahkonen
267,Joey Daccord,SEA,G,29,1996-08-19,Boston,MA,USA,USA,74,201,2015,OTT,7,18,199,2025-2026,joeydaccord
268,Matiss Kivlenieks,CBJ,G,28,1996-08-26,Riga,,LVA,USA,74,183,-,-,-,-,-,2020-2021,matisskivlenieks
269,Erik Kallgren,TOR,G,28,1996-10-14,Stockholm,,SWE,SWE,75,200,2015,ARI,7,2,183,2022-2023,erikkallgren
270,Sam Montembeault,MTL,G,28,1996-10-30,Bécancour,QC,CAN,CAN,75,214,2015,FLA,3,16,77,2025-2026,sammontembeault
271,Ivan Fedotov,PHI,G,28,1996-11-28,Russia,,RUS,RUS,78,188,2015,PHI,7,7,188,2024-2025,ivanfedotov
272,Mackenzie Blackwood,"COL, S.J",G,28,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42,2024-2025,mackenzieblackwood
273,Ales Stezka,SEA,G,28,1997-01-06,,,CZE,,76,190,2015,MIN,4,20,111,2024-2025,alesstezka
274,Felix Sandstrom,PHI,G,28,1997-01-12,Gävle,,SWE,SWE,74,191,2015,PHI,3,9,70,2023-2024,felixsandstrom
275,Veini Vehvilainen,CBJ,G,28,1997-02-13,Jyväskylä,,FIN,FIN,72,181,2018,CBJ,6,18,173,2020-2021,veinivehvilainen
276,Ilya Samsonov,VGK,G,28,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22,2024-2025,ilyasamsonov
277,Logan Thompson,WSH,G,28,1997-02-25,Calgary,AB,CAN,CAN,76,205,-,-,-,-,-,2025-2026,loganthompson
278,Connor Ingram,UTA,G,28,1997-03-31,Saskatoon,SK,CAN,CAN,74,196,2016,T.B,3,27,88,2024-2025,connoringram
279,Adam Werner,COL,G,28,1997-05-02,Mariestad,,SWE,SWE,77,205,2016,COL,5,10,131,2019-2020,adamwerner
280,Adam Huska,NYR,G,28,1997-05-12,Slovakia,,SVK,SVK,76,214,2015,NYR,7,3,184,2021-2022,adamhuska
281,Devin Cooley,S.J,G,28,1997-05-25,Los Gatos,CA,USA,USA,77,192,-,-,-,-,-,2023-2024,devincooley
282,Michael McNiven,MTL,G,28,1997-07-09,Winnipeg,MB,CAN,CAN,73,199,-,-,-,-,-,2021-2022,michaelmcniven
283,Dan Vladar,PHI,G,28,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75,2025-2026,danvladar
284,Zach Sawchenko,S.J,G,27,1997-12-30,Calgary,AB,CAN,CAN,73,185,-,-,-,-,-,2021-2022,zachsawchenko
285,Dylan Wells,CHI,G,27,1998-01-03,St. Catharines,ON,CAN,CAN,74,190,2016,EDM,5,2,123,2022-2023,dylanwells
286,Jack LaFontaine,CAR,G,27,1998-01-06,Mississauga,ON,CAN,CAN,74,204,2016,CAR,3,14,75,2021-2022,jacklafontaine
287,Josef Korenar,ARI,G,27,1998-01-31,Pelhrimov,,CZE,,73,185,-,-,-,-,-,2021-2022,josefkorenar
288,Matt Murray,DAL,G,27,1998-02-02,St. Albert,AB,CAN,CAN,73,200,-,-,-,-,-,2023-2024,mattmurray
289,Filip Gustavsson,MIN,G,27,1998-06-07,Skellefteå,,SWE,SWE,74,184,2016,PIT,2,25,55,2025-2026,filipgustavsson
290,Alexei Melnichuk,S.J,G,27,1998-06-29,St. Petersburg,,RUS,RUS,74,201,-,-,-,-,-,2020-2021,alexeimelnichuk
291,Joseph Woll,TOR,G,27,1998-07-12,Dardenne Prairie,MO,USA,USA,75,203,2016,TOR,3,1,62,2024-2025,josephwoll
292,Carter Hart,PHI,G,27,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48,2023-2024,carterhart
293,Dylan Ferguson,OTT,G,26,1998-09-20,Lantzville,BC,CAN,CAN,74,194,2017,DAL,7,8,194,2022-2023,dylanferguson
294,Kaden Fulcher,DET,G,26,1998-09-23,Brigden,ON,CAN,,74,210,-,-,-,-,-,2018-2019,kadenfulcher
295,Stuart Skinner,EDM,G,26,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78,2025-2026,stuartskinner
296,Jeremy Swayman,BOS,G,26,1998-11-24,Anchorage,AK,USA,USA,74,194,2017,BOS,4,18,111,2025-2026,jeremyswayman
297,Jake Oettinger,DAL,G,26,1998-12-18,Lakeville,MN,USA,USA,77,220,2017,DAL,1,26,26,2025-2026,jakeoettinger
298,Jiri Patera,VGK,G,26,1999-02-24,,,CZE,CZE,74,209,2017,VGK,6,6,161,2023-2024,jiripatera
299,Clay Stevenson,WSH,G,26,1999-03-03,,,CAN,,76,195,-,-,-,-,-,2024-2025,claystevenson
300,Ivan Prosvetov,COL,G,26,1999-03-05,Moscow,,RUS,RUS,77,195,2018,ARI,4,21,114,2023-2024,ivanprosvetov
301,Ukko-Pekka Luukkonen,BUF,G,26,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54,2024-2025,ukkopekkaluukkonen
302,Daniil Tarasov,FLA,G,26,1999-03-27,Novokuznetsk,,RUS,RUS,77,196,2017,CBJ,3,24,86,2025-2026,daniiltarasov
303,Eetu Makiniemi,S.J,G,26,1999-04-19,Vantaa,,FIN,FIN,74,184,2017,CAR,4,11,104,2022-2023,eetumakiniemi
304,Jaxson Stauber,UTA,G,26,1999-04-27,Wayzata,MN,USA,USA,75,174,-,-,-,-,-,2024-2025,jaxsonstauber
305,Matt Villalta,UTA,G,26,1999-06-03,Kingston,ON,CAN,CAN,75,165,2017,L.A,3,10,72,2024-2025,mattvillalta
306,Michael Dipietro,VAN,G,26,1999-06-09,Windsor,ON,CAN,CAN,72,200,2017,VAN,3,2,64,2021-2022,michaeldipietro
307,Olle Eriksson Ek,ANA,G,26,1999-06-22,Karlstad,,SWE,SWE,75,189,2017,ANA,5,29,153,2022-2023,olleerikssonek
308,Pyotr Kochetkov,CAR,G,26,1999-06-25,Penza,,RUS,RUS,75,205,2019,CAR,2,5,36,2024-2025,pyotrkochetkov
309,Cayden Primeau,MTL,G,26,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199,2024-2025,caydenprimeau
310,Arvid Soderblom,CHI,G,26,1999-08-19,Göteborg,,SWE,SWE,75,180,-,-,-,-,-,2025-2026,arvidsoderblom
311,Samuel Ersson,PHI,G,25,1999-10-20,Falun,,SWE,SWE,74,176,2018,PHI,5,19,143,2025-2026,samuelersson
312,Jakub Skarek,NYI,G,25,1999-11-10,Jihlava,,CZE,CZE,75,205,2018,NYI,3,10,72,2024-2025,jakubskarek
313,Georgi Romanov,S.J,G,25,1999-12-15,,,RUS,,77,207,-,-,-,-,-,2024-2025,georgiromanov
314,Yaniv Perets,CAR,G,25,2000-03-04,,,CAN,,73,181,-,-,-,-,-,2024-2025,yanivperets
315,Justus Annunen,"COL, NSH",G,25,2000-03-11,Kempele,,FIN,FIN,76,210,-,-,-,-,-,2024-2025,justusannunen
316,Nikita Tolopilo,VAN,G,25,2000-04-06,,,BLR,,78,229,-,-,-,-,-,2024-2025,nikitatolopilo
317,Akira Schmid,VGK,G,25,2000-05-12,Bern,,CHE,CHE,77,205,2018,N.J,5,12,136,2025-2026,akiraschmid
318,Lukas Dostal,ANA,G,25,2000-06-22,Brno,,CZE,CZE,74,174,2018,ANA,3,23,85,2025-2026,lukasdostal
319,Olivier Rodrigue,EDM,G,25,2000-07-06,Chicoutimi,QC,CAN,CAN,73,158,2018,EDM,2,31,62,2024-2025,olivierrodrigue
320,Joel Hofer,STL,G,25,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,STL,4,14,107,2025-2026,joelhofer
321,Kevin Mandolese,OTT,G,24,2000-08-22,Blainville,QC,CAN,CAN,76,180,2018,OTT,6,2,157,2022-2023,kevinmandolese
322,Magnus Chrona,S.J,G,24,2000-08-28,,,SWE,,76,194,2018,T.B,5,28,152,2023-2024,magnuschrona
323,Erik Portillo,L.A,G,24,2000-09-03,,,SWE,,78,218,2019,BUF,3,5,67,2024-2025,erikportillo
324,Victor Ostman,SEA,G,24,2000-10-03,,,SWE,,76,205,-,-,-,-,-,2024-2025,victorostman
325,Mads Sogaard,OTT,G,24,2000-12-13,Aalborg,,DNK,DNK,79,196,-,-,-,-,-,2024-2025,madssogaard
326,Nico Daws,N.J,G,24,2000-12-22,Munich,,DEU,DEU,76,205,2020,N.J,3,22,84,2024-2025,nicodaws
327,Trent Miner,COL,G,24,2001-02-05,Brandon,MB,CAN,CAN,73,185,2019,COL,7,16,202,2024-2025,trentminer
328,Arturs Silovs,PIT,G,24,2001-03-22,,,LVA,LVA,76,203,2019,VAN,6,1,156,2025-2026,arturssilovs
329,Jet Greaves,CBJ,G,24,2001-03-30,Cambridge,ON,CAN,CAN,72,184,-,-,-,-,-,2025-2026,jetgreaves
330,Dustin Wolf,CGY,G,24,2001-04-16,Gilroy,CA,USA,USA,72,156,2019,CGY,7,28,214,2025-2026,dustinwolf
331,Spencer Knight,CHI,G,24,2001-04-19,Stamford,CT,USA,USA,75,192,2019,FLA,1,13,13,2025-2026,spencerknight
332,Jakub Dobes,MTL,G,24,2001-05-27,,,CZE,,76,205,2020,MTL,5,12,136,2025-2026,jakubdobes
333,Hugo Alnefelt,T.B,G,24,2001-06-04,Danderyd,,SWE,SWE,74,177,2019,T.B,3,9,71,2021-2022,hugoalnefelt
334,Dennis Hildeby,TOR,G,23,2001-08-19,,,SWE,,79,222,2022,TOR,4,25,122,2024-2025,dennishildeby
335,Devon Levi,BUF,G,23,2001-12-27,Dollard-des-Ormeaux,QC,CAN,CAN,72,184,2020,FLA,7,26,212,2024-2025,devonlevi
336,Aleksei Kolosov,PHI,G,23,2002-01-04,,,BLR,,73,185,2021,PHI,3,14,78,2024-2025,alekseikolosov
337,Joel Blomqvist,PIT,G,23,2002-01-10,,,FIN,,74,183,2020,PIT,2,21,52,2024-2025,joelblomqvist
338,Yaroslav Askarov,S.J,G,23,2002-06-16,Omsk,,RUS,RUS,75,178,2020,NSH,1,11,11,2025-2026,yaroslavaskarov
339,Drew Commesso,CHI,G,23,2002-07-19,,,USA,,74,180,2020,CHI,2,15,46,2024-2025,drewcommesso
340,Leevi Merilainen,OTT,G,23,2002-08-13,Oulu,,FIN,FIN,74,158,-,-,-,-,-,2024-2025,leevimerilainen
341,Tristan Lennox,NYI,G,22,2002-10-21,Ottawa,ON,CAN,CAN,76,196,2021,NYI,3,29,93,2024-2025,tristanlennox
342,Jesper Wallstedt,MIN,G,22,2002-11-14,Vasteras,,SWE,SWE,75,214,2021,MIN,1,20,20,2025-2026,jesperwallstedt
343,Sebastian Cossa,DET,G,22,2002-11-21,Hamilton,ON,CAN,CAN,78,210,2021,DET,1,15,15,2024-2025,sebastiancossa
344,Nikke Kokko,SEA,G,21,2004-03-14,,,FIN,,75,184,2022,SEA,2,26,58,2024-2025,nikkekokko
